n,seq_time,par_time,speedup
10,4e-07,0.00027959999999999997,0.0014306151645207441
50,2.8e-06,0.0002814,0.009950248756218905
100,1.1e-05,0.0002824,0.03895184135977337
250,6.759999999999999e-05,0.00034159999999999995,0.19789227166276346
500,0.0002696,0.0005774,0.46692067890543815
1000,0.0011564,0.0015932,0.7258347978910369
2000,0.006049400000000001,0.0060176,1.00528449880351
3000,0.013142399999999999,0.013005200000000003,1.0105496263033245
5000,0.0535384,0.0438318,1.2214510925857482
7000,0.12022080000000002,0.08879759999999999,1.353874429038623
10000,0.24191780000000002,0.1770136,1.3666622225636902
